"","X","publisher","journal","role","editor","affiliation","url","date"
"57",57,"iMedPub","Advances in Applied Science Research","Section Editors","N. K. Katari","Department of Chemistry, GITAM University-Hyderabad Campus, Medak, Andhra Pradesh, India","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"58",58,"iMedPub","Advances in Applied Science Research","Section Editors","N. Sandeep","Division of Fluid Dynamics, VIT University, Vellore, India","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"59",59,"iMedPub","Advances in Applied Science Research","Section Editors","Samuel Asumadu-Sarkodie","Middle East Technical University, Northern Cyprus Campus, Kalkanli, Guzelyurt, Turkey","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"60",60,"iMedPub","Advances in Applied Science Research","Section Editors","Sardar Mohammadi","Department of Sport Management, Faculty of Physical Education &amp; sport sciences, University of Kurdistan, Sanandaj, Kurdistan, Iran","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"61",61,"iMedPub","Advances in Applied Science Research","Section Editors","Prakash H. Patil","Professor E&amp;TC Departement, Smt. Kashibai Navale Sinhgad Institute of Technology and Science Lonavala, Savitribai Phule Pune University (SPPU) and Vice Chairman, The Institution of Electronics and Telecommunication Engineers (IETE),Pune centre, Maharashtra,India","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"62",62,"iMedPub","Advances in Applied Science Research","Section Editors","Prince SukaMomta","Department of Geology, University of Port Harcourt, Nigeria","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"63",63,"iMedPub","Advances in Applied Science Research","Section Editors","Ved Kumar Mishra","Biotechnology &amp; Bioinformatics Department, S. D. College of Engineering &amp; Technology, Muzaffarnagar, U.P, India","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"64",64,"iMedPub","Advances in Applied Science Research","Section Editors","Tran Van Chung","Institute of Chemistry and Materials, Han Noi, Vietnam","https://www.imedpub.com/advances-in-applied-science-research/editors.php","2021-05-19"
"65",65,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","JAYENDRAKUMAR D. PATEL","Chief Executive Officer and Director, Pyrrhic Pharma Private Limited, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"66",66,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Dr. Srikanth Boinapally","Researcher, Johns Hopkins University, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"67",67,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Mohammed Inayathullah","Stanford University, California, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"68",68,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Amarjit Luniwal","North American Science Associates Inc, Ohio, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"69",69,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Damoder Reddy Motati","Research Scientist, Union University Drive, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"70",70,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Amit Kumar Jain","Texas Tech University, Lubbock, United States","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"71",71,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Clemente Bretti","University of Messina, Department ChioBioFaram, Messina, Italy","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"72",72,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Sai Prachetan Balguri","The University of Mississippi, University, MS, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"73",73,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Yong Zhang","University of North Carolina, Chapel Hill, NC, United States","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"74",74,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Alan David Goddard","Aston University, Birmingham, England","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"75",75,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Kaustuv Sahoo","Oklahoma State University, United States","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"76",76,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Amit Rawat","Texas Tech University Health Sciences Center, Amarillo, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"77",77,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Qian Zhong","Stanford University, Stanford, California, United States","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"78",78,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Lijuan Cao","China Pharmaceutical University, Nanjing, China","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"79",79,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Noha Mohamed Zaki Rayad","Taif University, Taif, Saudi Arabia","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"80",80,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Anas Salem","Assiut University, Assiut, Egypt","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"81",81,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Evren Atlihan Gundogdu","Ege University, Izmir, Turkey","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"82",82,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Aysu Yurdasiper","Ege University, Izmir, Turkey","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"83",83,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Palanirajan Vijayaraj Kumar","UCSI University, South campus, Kuala Lampur, Malaysia","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"84",84,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Rasha Radwan","National Center for Radiation Research and Technology, Egyptian Atomic Energy Authority, Egypt","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"85",85,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Ipsita Roy","University of Westminster, London, England","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"86",86,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","El Hassane Larhrib","University of Huddersfield, Huddersfield, United Kingdom","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"87",87,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Andreas Bernkop Schnurch","University of Innsbruck, Innsbruck, Austria","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"88",88,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Durisova Maria","Institute of Experimental Pharmacology and Toxicology, Slovak Republic, Europe","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"89",89,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Dhrubo Jyoti Sen","SCHOOL OF PHARMACY, DEPARTMENT OF PHARMACEUTICAL CHEMISTRY, TECHNO INDIA UNIVERSITY, EM-4, SALT LAKE CITY, SECTOR V, KOLKATA, WEST BENGAL 700091, INDIA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"90",90,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Ani Sree G S","Jamia Salafiya Pharmacy College, Pulikkal, Malappuram, Kerala, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"91",91,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Deepak N. Kapoor","Shoolini University, HP, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"92",92,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Prajapati Shailesh Thanaji","Shri Sarvajanik Pharmacy College, Mehsana, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"93",93,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Bruhal A Shah","University of Oklahoma Health Sciences Center, Oklahoma, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"94",94,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Dilip Kumar Pal","Guru Ghasidas University, Koni, Bilaspur, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"95",95,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Jayvadan Kumar Patel","Nootan Pharmacy College, Gujarat, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"96",96,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Omodamiro, Olorunshola Dave","Michael Okpara University of Agriculture, Umudike, Abia State, Nigeria","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"97",97,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Shashank Jain","G &amp; W Laboratories Inc, New Jersey, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"98",98,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Tejraj M. Aminabhavi","College of Pharmacy, Dharwad, Karnataka, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"99",99,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Syed A. A. Rizvi","Nova Southeastern University (NSU), Fort Lauderdale, Florida","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"100",100,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Andrei Blasko","Novartis Pharmaceutical Corporation, San Carlos, CA, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"101",101,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Subhrajit Bhattacharya","Rollins Research Center, Emory University, Atlanta, GA, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"102",102,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Peter Geisser","Vifor Pharma Ltd., St. Gallen, Switzerland, Europe","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"103",103,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Sandeep Kumar Kar","Institute of Postgraduate Institute of Medical Education and Research, Kolkata, India","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"104",104,"iMedPub","American Journal of Advanced Drug Delivery","Editorial Board","Haichen Nie","Purdue University, West Lafayette, USA","https://www.imedpub.com/advanced-drug-delivery/editors.php","2021-05-19"
"105",105,"iMedPub","American Journal of Computer Science and Engineering Survey","Editor-In-Chief","Hongzhi Wang","Professor,
Harbin Institute of Technology, China","https://www.imedpub.com/computer-science-and-engineering-survey/editors.php","2021-05-19"
"106",106,"iMedPub","American Journal of Computer Science and Engineering Survey","Executive Editor","Ahmed Nabih Zaki Rashed","Electronic and Electrical Communication,
Engineering Department,
Menoufiya University,
Egypt","https://www.imedpub.com/computer-science-and-engineering-survey/editors.php","2021-05-19"
"107",107,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","CHARLES S LOUISRAJ","Enterprise Architect
Newell Brands, Atlanta, US.","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
"108",108,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","Rushit Dave","Assistant Professor, Computer Science Department, University Of Wisconsin, Eau Claire","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
"109",109,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","John Lazar","Medical Director, PinnacleHealth Robotics Institute, Pennsylvania, USA","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
"110",110,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","Dingju Zhu","Professor, Director of Computer Application Department, South China Normal University, China","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
"111",111,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","Hamid Ali Abed AL-Asadi","Head of Department, Computer Science Department, Faculty of Education for Pure Science, Basra University, Basra, Iraq","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
"112",112,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","Nasser Fegh-hi Farahmand","Department of Industrial Management, Tabriz Branch, Islamic Azad University, Tabriz, Iran","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
"113",113,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","Shameemul Haque","Computer Science Tanumah Campus King Khalid university, Saudi Arabia","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
"114",114,"iMedPub","American Journal of Computer Science and Information Technology","Editorial Board","John Lenon Ednave Agatep","Executive Director, ACLC Macau / Former Dean, AMA Computer College, Olongapo City","https://www.imedpub.com/computer-science-and-information-technology/editors.php","2021-05-19"
