publisher	journal	role	editor	affiliation	url	date
Springer Nature	Cell Death & Differentiation	NA	Eric H Baehrecke	USA, Worcester - Eric Baehrecke obtained his Ph.D. from the University of Wisconsin – Madison, and was a Howard Hughes Medical Institute Fellow of the Life Sciences Research Foundation at the University of Utah during his postdoctoral studies. He was a faculty member of the University of Maryland from 1995-2007, and is currently a Professor in the Department of Molecular, Cell and Cancer Biology at the University of Massachusetts Medical School. His team studies the regulation and function of autophagy in cell survival and cell death, and the mechanisms controlling non-apoptotic cell death.	https://www.nature.com/cdd/editors	2022-02-10
Springer Nature	Cell Death & Differentiation	NA	Richard A Knight	UK, London - Honorary Senior Lecturer in the Medical Molecular Biology Unit, Institute of Child Health, University College London, and member of the Apoptosis and Cancer Laboratory, Medical Research Council Toxicology Unit, Leicester, UK. Scientific interests include all aspects of cell death, especially in relation to the p53 family, the role of STAT transcription factors in cell cycle control and apoptosis and the mechanisms of cytoprotection by the urocortins, particularly in cardiovascular and neuronal pathologies.	https://www.nature.com/cdd/editors	2022-02-10
Springer Nature	Cell Death & Differentiation	NA	David Vaux		https://www.nature.com/cdd/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Mauro Piacentini	"Italy, Rome - Dr Piacentini is a Full Professor at University of Rome ""Tor Vergata"", Rome, Italy. He is also President of the Biotechnology Program at the university, is on the Board of Directors for the European Cell Death Organization and is Basic Research Director at the National Institute for Infectious Diseases in Rome. Since 1993, he has been the Founder and an Editor of the journal Cell Death &amp; Differentiation. He is a journal reviewer for other journals including Brain Research, Cancer Research, Cancer Cell, and Nature. Furthermore, Dr Piacentini has organized several international meetings including the 14th Euroconference on ""Apoptosis or Programmed Cell Death"". He has co-edited a book entitled ""Methods in Enzymology: Programmed Cell Death"". His research interest is to understand the molecular mechanisms regulating apoptosis and autophagy under both physiological and pathological conditions. In particular, he is interested in the pathogenesis of Huntington's disease with particular regard to the role of TG2 and mitochondria. He is also studying infectious diseases such as HIV and HCV. With autophagy, he is characterizing the role of Ambra1, a key component of the Beclin1 complex. KEYWORDS: apoptosis; autophagy; HIV; HCV; Ambra1 ORCID: 0000-0003-2919-1296"	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Yufang Shi	China, Shanghai and USA, New Jersey - Yufang Shi is Director and Professor of the Institute of Health Sciences, Shanghai Institutes for Biological Sciences of Chinese Academy of Sciences, and Shanghai Jiao Tong University School of Medicine. He also holds a University Professor title at Robert Wood Johnson Medical School, University of Medicine and Dentistry of New Jersey. He received his Ph.D. in Immunology from University of Alberta in 1992. From 1995 to 2001, he was a faculty member at the American Red Cross Laboratory, Holland and George Washington University. His research team studies i) molecular mechanisms of activation-induced cell death in T cell subpopulations; ii) understanding how immunosuppression is mediated in mesenchymal stem cells; iii) tumor stroma and tumor immunology; and iv) psychoneuroimmunology. He is one of the editors of Cell Research and has served on editorial boards of Journal of Immunology, Oncogene, Journal of Biological Chemistry, Cellular and Molecular Immunology, and the American Journal of Translational Research. KEYWORDS: Apoptosis in lymphocytes; immune regulation; psychoneuroimmunology; bone-lymphocyte connection ORCID: 0000-0001-8964-319X	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Hans-Uwe Simon	"Switzerland, Bern - Simon Hans-Uwe, M.D., Ph.D., is Professor of Pharmacology and since 2000, has been Director of the Department of Pharmacology, University of Bern in Switzerland. After obtaining a doctoral thesis, he specialized in Clinical Immunology, at the University of Jena, Germany. His Postdoc (1990-92) was completed at the Mount Sinai and General Hospitals, University of Toronto, Canada. Professor Hans-Uwe became a Principal Investigator and Deputy Director (1992-2000) at the Swiss Institute of Allergy and Asthma Research, University of Zurich, Davos, Switzerland, with ""Habilitation"" in Experimental Immunology (1996). He also obtained a Doctoral thesis (Ph.D. 1996-2001) at the Department of Pharmacology, Hebrew University of Jerusalem, Israel. Research interests include: (1) Immunopharmacology; and (2) Role of apoptosis and autophagy in inflammatory diseases and cancer. Among other academic and administrative services, he served as President of the Swiss Society of Pharmacology and Toxicology (SSPT; 2004-2007), President of the Swiss Society of Experimental Pharmacology (SSEP; 2005-2008), President of the European Cell Death Society (ECDO; 2007-2009), and President of the Union of the Swiss Societies for Experimental Biology (USSBE; 2007-2010). He is the Editor-in-Chief of Allergy, the European Journal of Allergy and Clinical Immunology. KEYWORDS: Immunopharmacology; apoptosis; autophagy; neutrophils extracellular traps; eosinophils ORCID: 0000-0002-9404-7736 Deputy Editors"	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Guido Kroemer	France, Villejuif - Guido Kroemer currently serves as a Research Director at INSERM, in the INSERM Unit 848, located in Villejuif, France. Prior to joining the INSERM (1993), he was Senior Scientist of the European Community at the Spanish National Research Council (CSIC) at the National Center of Molecular Biology (1990-1992) and at the National Center of Biotechnology (1993). He did his postdoctoral training in the Collège de France, Nogent-sur-Marne, France (1988-1989) and at the University of Innsbruck, Austria, after receiving his PhD and MD degrees at the same University in 1985. He also holds a PhD degree in biology (Autonomous University of Madrid, Spain). G. Kroemer is member of EMBO, German Academy of Sciences (Leopoldina), Academia Europaea and European Academy of Sciences and Arts. He received the 2006 Descartes Prize, the highest scientific distinction of the European Union, for his fundamental discoveries in the field of programmed cell death (apoptosis). He also received one of the Grands Prix from the French Academy of Sciences in 2007, as well as the Carus Medal from the German Academy of Sciences. His interests embrace the role of mitochondria in pathological cell death, the contribution of autophagy to disease processes, and the immune response to dying cancer cells. KEYWORDS: autophagy; apoptosis; cancer; chemotherapy; tumor immunology	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Richard Knight	UK, London - Honorary Senior Lecturer in the Medical Molecular Biology Unit, Institute of Child Health, University College London, and member of the Apoptosis and Cancer Laboratory, Medical Research Council Toxicology Unit, Leicester, UK. Scientific interests include all aspects of cell death, especially in relation to the p53 family, the role of STAT transcription factors in cell cycle control and apoptosis and the mechanisms of cytoprotection by the urocortins, particularly in cardiovascular and neuronal pathologies. KEYWORDS: STAT; apoptosis; p73; urocortin; neurodegeneration	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Gerry Melino	"Italy, Rome and UK, Cambridge - Gerry Melino is Head of the Apoptosis &amp; Cancer Laboratory, Medical Research Council Toxicology Unit, UK; and Professor of Molecular Biology (Medicine), University of Rome ""Tor Vergata"". He was awarded the Academia Lincei ""Feltrinelli"" Prize, the highest distinction by the President of Italy. His scientific interest focuses upon programmed cell death in cancer and skin. On the epidermis he works on the molecular events leading to death of keratinocytes, both in animal models as well as in human pathologies. Gerry's major work investigates the two recently identified members of the p53 family – p63 and p73. The molecular events driven by DNA damage to elicit the function of p63/p73 is investigated in vitro (transcriptional targets, proteosomal degradation, inhibitors) as well in ad hoc transgenic animal models. KEYWORDS: apoptosis; p63/p73; skin; DNA damage; transgenic animal models"	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Giuseppe Raschellà	Italy, Rome - Giuseppe Raschellà graduated in Pharmaceutical Chemistry in 1976 and in Biological Sciences in 1980 at the University of Rome, Sapienza. He did his post-doctoral training (1984-1985) at the University of North Carolina at Chapel Hill in Dr Clyde Hutchison's laboratory where he studied the organization of globin genes and Long Interspersed Elements 1 (LINE-1). In 1986 he started his research group at the ENEA Research Center Casaccia in Rome working on the biology of solid tumours of neuroectodermal origin, particularly neuroblastoma. During his research career he has been interested in the role of oncogenes in regulating proliferation, differentiation and survival of tumour cells. His current research interests include the molecular mechanisms of Epithelial Mesenchymal Transition (EMT) in tumours and the role of microRNAs in metastasis. He served as a member of the Scientific Board of the Italian Association for Neuroblastoma Research (2002-2004). He has been reviewer of several scientific journals among which, Journal of Cellular Biochemistry, International Journal of Cancer, Cellular &amp; Molecular Life Sciences and Cell Death &amp; Differentiation. KEYWORDS: neuroblastoma; EMT; microRNAs; zinc finger proteins; apoptosis	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death & Disease	NA	Boris Zhitovsky	"Sweden, Stockholm - Boris Zhivotovsky, PhD, Dr Sci, is Professor of Toxicology at the Institute of Environmental Medicine, Karolinska Institutet (Stockholm, Sweden). He received his PhD in 1975 (in the laboratory of Professor Kaido Hanson) and Dr Sci in Radiobiology and Biochemistry in 1989 in Leningrad (Soviet Union), with both studies investigating molecular mechanisms of radiation-induced death of lymphoid cells. The team was first to describe this phenomenon as an example of programmed cell death. In 1987 he received the USSR State Prize in Science and Technology for development of the theoretical basis of radiation-induced death of lymphoid cells and their use to determine the pathogenesis of radiation sickness. In 1991 he was invited to join Professor Sten Orrenius's group at Karolinska Institutet (Stockholm), where he became a group leader, Associate Professor, Professor, and from 2004 a Head of the Unit of Toxicology. In 2010 he was invited to build a new laboratory investigating apoptosis mechanisms at the Faculty of Basic Medicine, Moscow State University (Russia) and elected as a University Professor. He was first to describe intracellular localization and translocation of caspases, to show that microinjection of cytochrome c can kill cells, to understand that the resistance of small cell lung carcinoma cells and tumors to treatment is partly linked to the absence of expression of caspase-8 and -10, and to present evidence that mitotic catastrophe is not a separate mode of cell death but a process (""prestage"") preceding cell death, which can occur through necrosis, apoptosis or autophagy. His recent work is focusing on attempts to increase the sensitivity of lung cancer cells to treatment using regulation of cross-talk between various cell death modalities. He was an organizer of three Nobel Conferences on The Cell Cycle and Cell Death in Disease and several other meetings; received several awards including the Descartes Research Prize (EU Science Award); and was a General Secretary (1999-2007), President-Elect (2007-2010), and President (2010-2012) of the European Cell Death Organization (ECDO). At present he is a member of the Editorial Boards of 8 journals. KEYWORDS: DNA damage; p53; caspases; ROS; lung cancer"	https://www.nature.com/cddis/editors	2022-02-10
Springer Nature	Cell Death Discovery	NA	Xin Lu	UK, Oxford - Professor Xin Lu studied Biochemistry at Sichuan University and then Cancer Research at Peking Union Medical School in Beijing. She was awarded an IARC WHO fellowship to come to the Imperial Cancer Research Fund in London in 1986 and studied for her PhD under Birgit Lane. In 1993 she joined the Ludwig Institute for Cancer Research (LICR), St. Mary's Branch, Imperial College as an Assistant Member and was progressively promoted to LICR Full Member and Professor at Imperial College in 2000. In 2004, she was appointed as the Director of the LICR’s UCL Branch but moved the unit to Oxford in 2007. She is an elected Member of EMBO and Fellow of the Academy of Medical Sciences. Professor Lu's research is focused on understanding tumour suppression and to identify molecular switches that selectively kill cancer cells. Cancer is a disease where cells grow in the wrong place at the wrong time. Regenerative medicine involves growing cells to replace the ones that were lost or damaged. Therefore, understanding molecular mechanisms that control cell growth is vital, both to stop cancer cell growth and to grow normal cells to replace the damaged ones. Professor Lu's research team has been one of the major research groups in the world to study the regulation of the tumour suppressor function of the p53 protein whose function is lost in most human cancers. The majority of nuclear import pathways are mediated by importin-cargo interactions. Yet around 50% of all nuclear proteins do not use this pathway. Through a detailed understanding of the regulation of the ASPP proteins, Professor Lu's group has identified a code that defines RaDAR as a novel nuclear import pathway of ankyrin repeats (AR) containing proteins. AR is a structural motif found in over 250 human proteins with diverse functions. The RaDAR (RanGDP/AR) pathway is acquired by the most common familial melanoma associated CDKN2A mutation, leading to nuclear accumulation of mutant p16ink4a. It is frequently used by AR-containing transcriptional regulators, especially those regulating NF-ĸB/p53. All these suggest the existence of an Ankyrin repeats signaling and its role in infection and cancer. KEYWORDS: apoptosis, p53, EBV, ASPP proteins, Ankyrin repeats signaling	https://www.nature.com/cddiscovery/editors	2022-02-10
Springer Nature	Cell Death Discovery	NA	Ivano Amelio	Italy, Rome and UK, Nottingham - Ivano Amelio is currently an AIRC Start-Up Group Leader at the TOR Centre of Excellence of the University of Rome “Tor Vergata” (Italy) and an Assistant Professor in the School of Life Sciences at the University of Nottingham (UK). His work aims to understand the molecular basis of tumour suppression signalling with a particular focus on the role of p53 family members, microenvironmental hypoxia and metabolic alterations. His training started at the University of Rome Tor Vergata (Italy) where in 2011 he received the PhD in Biochemistry and Molecular Biology, elucidating a novel microRNA-mediated mechanism regulating the balance of epidermal cell proliferation/differentiation. His research activity then continued at the MRC Toxicology Unit, University of Cambridge (UK), where in 2016 he received the appointment of Senior Investigator Scientist. His major contributions include the identification of specific functions for p53 family members in cellular stress response, mediated by p73 regulation of cancer metabolism , angiogenesis, and development. More recently, he revealed a novel gain-of-function effect of p53 mutants in hypoxic tumours. Ivano is a member of the board of directors of the European Cell Death Organisation (ECDO) and member of a number of international advisory boards. He has served as Editor-in-Chief of Cell Death Discovery since 2018 and as member of the editorial board of Cell Death &amp; Disease and Molecular and Cellular Oncology since 2017 and 2014 respectively. KEYWORDS: p53, DNA damage response, hypoxia, miR, skin biology Editorial Board The Cell Death Discovery international Editorial Board spans the breadth of the coverage of the journal – view the full	https://www.nature.com/cddiscovery/editors	2022-02-10
Springer Nature	Cell Discovery	Editorial Board	Dr Gang Pei	NA	https://www.nature.com/celldisc/editors	2022-02-10
Springer Nature	Cell Discovery	Editorial Board	Dr Dangsheng Li	NA	https://www.nature.com/celldisc/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Vickie Baracos (PhD 1981, Nottingham University, UK, Applied Biochemistry and Nutrition; Postdoctoral 1981-1984, Harvard University, Physiology) is a researcher at the University of Alberta, Canada. Dr Baracos' primary appointment is Professor, Department of Oncology, with a secondary appointment in the Division of Human Nutrition. Dr Baracos' work on skeletal muscle in clinical nutrition and metabolism and cancer-associated malnutrition spans 35 years (see invited reviews and commentary i.e.	NA	https://www.nature.com/ejcn/editors/editorial-board	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Born and bred on the island of Mauritius, Abdul Dulloo obtained a Bachelor degree in Physiology and a PhD degree in Nutrition from the University of London in UK, followed by a 2 year postdoctoral research fellowship for studies centered on the role of the sympathoadrenal system in weight regulation at Harvard Medical School in Boston, USA. He subsequently worked as a research associate in the Department of Physiology at the University of Geneva, before joining the University of Fribourg (Switzerland) in 1999 where he has since been a lecturer in Physiology and Nutrition Sciences, and directing the	NA	https://www.nature.com/ejcn/editors/editorial-board	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Dr Laar, a Senior Lecturer of the University of Ghana, has academic training in Nutrition, Public Health, and Bioethics. In his independent scholarship, he draws on theoretical, conceptual, and methodological perspectives from the social sciences, bioethics, and public health to understand how physical environment, social environment, and structural forces affect health. He has led/co-led over 20 successful research projects, spanning maternal and child nutrition, and reproductive health. His recent work in nutrition is centred on obesity and NR-NCDs prevention, and includes projects such as the UK-AID/ Bill and Melinda Gates Foundation-funded “Dietary Transitions in Ghanaian Cities”, and the GCRF-funded “Dietary Transitions in African Cities Project” (both of which identified how social, and physical environments drive consumption of energy dense nutrient-poor foods and beverages). He is currently the Principal Investigator of an IDRC-funded project, the MEALS4NCDs Project, which aims at providing	NA	https://www.nature.com/ejcn/editors/editorial-board	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Mario J Soares, Curtin University, Australia	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Claudio Maffeis, University of Verona, Italy	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Manuela Merli, Sapienza University of Rome, Italy	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Marilyn Cornelis, Northwestern University Feinberg School of Medicine, Chicago, USA	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Eileen Gibney, University College Dublin, Ireland	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Jennifer Miles-Chan, University of Auckland, New Zealand	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Anoop Misra, Fortis-CDOC Center of Excellence for Diates, Metabolic Diseases and Endocrinolgy, India	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Rebecca Kuriyan Raj, St John's Research Institute, India	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Mario Siervo, University of Nottingham, United Kingdom	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Thomas MS Wolever, University of Toronto, 	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Shankuan Zhu, Zhejiang University, China	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Paola Ferrario, Max Rubner-Institut, Germany	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Christian Ritz, University of Copenhagen, Denmark	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Shahid Ullah, Flinders University, Australia	NA	https://www.nature.com/ejcn/editors	2022-02-10
Springer Nature	European Journal of Clinical Nutrition	Editorial Board	Richard Woodman, Flinders University, Australia	NA	https://www.nature.com/ejcn/editors	2022-02-10
