publisher	journal	role	editor	orcid	affiliation	url	date
Hindawi	Abstract and Applied Analysis	Academic Editors	Shuangjie Peng	NA	Central China Normal University, China	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Alfred Peris	NA	Universitat Politècnica de València, Spain	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Simeon Reich	NA	Israel Institute of Technology, Israel	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Jingli Ren	0000-0002-5392-291X	Zhengzhou University, China	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Julio D. Rossi	0000-0001-7622-2759	University of Buenos Aires, Argentina	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Abdel-Maksoud A. Soliman	0000-0001-6226-1327	Arish University, Egypt	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Nasser-Eddine Tatar	NA	King Fahd University of Petroleum and Minerals, Saudi Arabia	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Sébastien Tremblay	0000-0001-9803-2673	Université du Québec (Trois-Rivières), Canada	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Shi-Liang Wu	0000-0002-7798-3557	Anyang Normal University, China	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Yong Hong Wu	0000-0003-1028-1785	Curtin University, Australia	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Yufeng Xu	0000-0002-5647-987X	Central South University, China	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Agacik Zafer	0000-0001-8446-1223	American University of the Middle East, Kuwait	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Sheng Zhang	0000-0002-4631-7033	Bohai University, China	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Abstract and Applied Analysis	Academic Editors	Chun-Gang Zhu	0000-0002-0769-0812	Dalian University of Technolgoy, China	https://www.hindawi.com/journals/aaa/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Wei-Zen Chen	NA	National Chiao Tung University, Taiwan	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Ching Liang Dai	NA	National Chung Hsing University, Taiwan	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Luigi Di Benedetto	0000-0001-5588-0621	University of Salerno, Italy	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Ezz I. El-Masry	0000-0003-0700-0591	Dalhousie University, Canada	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Gerard Ghibaudo	0000-0001-9901-0679	Grenoble Institute of Technology, France	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Stephan Gift	0000-0002-2809-2563	The University of the West Indies, Trinidad And Tobago	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	S. M. Rezaul Hasan	0000-0003-0428-3311	Massey University, New Zealand	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Jiun-Wei Horng	0000-0002-1549-9284	Chung Yuan Christian University, Taiwan	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Yuh-Shyan Hwang	0000-0002-1486-4059	National Taipei University of Technology, Taiwan	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Adrian Ioinovici	NA	Holon Institute of Technology, Israel	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Thottam S. Kalkur	NA	University of Colorado, USA	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Iqbal A. Khan	NA	Umm Al Qura University, Saudi Arabia	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Ka Nang Leung	NA	Chinese University of Hong Kong, Hong Kong	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Bor-Ren Lin	NA	National Yunlin University of Science and Technology, Taiwan	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Abdelkarim Mercha	NA	Interuniversity Micro-Electronics Center at Leuven, Belgium	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Jianmin Miao	NA	Nanyang Technological University, Singapore	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Krishnamachar Prasad	0000-0003-1007-2860	Auckland University of Technology, New Zealand	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Egidio Ragonese	0000-0001-6893-7076	Università di Catania, Italy	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Michele Riccio	0000-0002-5926-4911	University of Naples “Federico II”, Italy	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Daisaburo Takashima	0000-0002-8527-067X	Kioxia Corporation, Japan	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Ichihiko Toyoda	NA	Saga University, Japan	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Gianluca Traversi	0000-0003-3977-6976	Università degli studi di Bergamo, Italy	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Huikai Xie	NA	University of Florida, USA	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Wen-Ming Zhang	0000-0001-6743-1006	Shanghai Jiao Tong University, China	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Active and Passive Electronic Components	Academic Editors	Guangya Zhou	NA	National University of Singapore, Singapore	https://www.hindawi.com/journals/apec/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	R Akromah	NA	"5.	Faculty of Agriculture, Kwame Nkrumah University of Science and Technology, Kumasi,   Ghana, Ghana"	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	"Habib	 Ali"	NA	Khwaja Fareed University of Engineering and Information Technology, Pakistan	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Boubié Vincent Bado	0000-0002-6920-1180	cgiar, USA	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Suhaib A. Bandh	0000-0002-8431-7843	Cluster University Srinagar, India	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	"Fabrizio	 Carbone"	NA	Consiglio per la ricerca in agricoltura e l'analisi dell'economia agraria, Italy	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Mumtaz Cheema	0000-0002-2063-5308	Memorial University, Pakistan	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Chuying Chen	NA	Jiangxi Agricultural University, China	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Shah Fahad	NA	National Key Laboratory of Crop Genetic Improvement MOA Key Laboratory of Crop Ecophysiology and Farming System in the Middle Reaches of the Yangtze River College of Plant Science and Technology, China	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Clifford Gold	0000-0003-1335-8960	Centro Internacional de Agricultura Tropical, Uganda	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	"Mirza	 Hasanuzzaman"	NA	Sher-e-Bangla Agricultural University, Bangladesh	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Mudassar Iqbal	NA	The Agriculture University Peshawar, Pakistan	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Durgesh Jaiswal	NA	Banaras Hindu University, India	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Tibor Janda	0000-0002-8249-6585	Hungarian Academy of Sciences, Hungary	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Gábor Kocsy	0000-0003-4522-9485	University of Pannonia, Hungary	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Zhongxu Lin	NA	Huazhong Agricultural University, China	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Othmane Merah	0000-0002-9863-150X	Laboratoire de Chimie Agro-industrielle, LCA / Université Paul Sabatier, Université de Toulouse, France	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Innocenzo Muzzalupo	0000-0002-0264-1392	Agricultural Research Council, Italy	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Kamrun Nahar	NA	Sher-e-Bangla Agricultural University, Bangladesh	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Ganesh Nikalje	NA	Univ Mumbai, RK Talreja Coll Arts Sci &amp; Commerce, India	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Volkan Okatan	NA	Eskişehir Osmangazi University, Turkey	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Hitesh Panchal	NA	Gujarat Technological University, India	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Amelia Salimonti	NA	CREA - Centro di ricerca Olivicoltura, Frutticoltura e Agrumicoltura, Italy	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Jiban Shrestha	NA	Nepal Agricultural Research Council, Nepal	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Claus A. Soerensen	NA	Aarhus University, Denmark	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Vikas Srivastava	NA	Central University of Jammu, India	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Ayman Suleiman	NA	University of Jordan, Jordan	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Yunchao Tang	NA	Zhongkai University of Agriculture and Engineering, China	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	"Laszlo	 Vasa	"	NA	Széchenyi István University, Hungary	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Chunpeng Wan	0000-0001-6892-016X	Jiangxi Agricultural University, China	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Xianzhang Wang	0000-0002-2605-4838	Indiana University-Purdue University Indianapolis, USA	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Xinqing Xiao	NA	China Agriculture University, China	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Agriculture	Academic Editors	Nasim Yasin	NA	University of the Punjab, Lahore, Pakistan, Pakistan	https://www.hindawi.com/journals/aag/editors/	2022-01-04
Hindawi	Advances in Astronomy	Chief Editor	Josep M. Trigo-Rodríguez	0000-0001-8417-702X	Institute of Space Sciences (IEEC-CSIC), Catalonia, Spain	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Fernando Aguado Agelet	0000-0003-2713-1943	University of Vigo, Spain	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Lorenzo Amati	0000-0001-5355-7388	Istituto di Astrofisica Spaziale e Fisica Cosmica, Italy	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	KWING LAM CHAN	NA	State Key Laboratory of Lunar and Planetary Sciences, Macau University of Science and Technology, China	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Rafael Correa	0000-0003-1662-2747	Instituto Tecnológico de Aeronáutica, Brazil	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Miguel De Avillez	NA	Universidade de Évora, Portugal	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Pedro Henrinque Ribeiro Soares De Moraes	NA	University of São Paulo, Brazil	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Sándor Frey	NA	Konkoly Observatory, Research Centre for Astronomy and Earth Sciences, Budapest, Hungary	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	José Gaite	0000-0003-4371-1710	Physics Dept., ETSIAE, Universidad Politécnica de Madrid  , Spain	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Dean Hines	0000-0003-4653-6161	Space Telescope Science Institute, USA	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	John Hughes	NA	Rutgers University, USA	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Wing-Huen Ip	NA	National Central University, Taiwan	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Sohan Jheeta	NA	Network of Researchers on the Chemical Evolution of Life, Leeds, United Kingdom, United Kingdom	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Michael Küppers	0000-0002-5666-8582	European Space Astronomy Centre, Spain	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Jing Li	0000-0002-7960-176X	College of Geo_exploration Science and Technology, Jilin University, Changchun 130026, China, China	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Yu Liu	0000-0002-7694-2454	Yunnan Observatories, Chinese Academy of Sciences, China	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Javier Martin-Torres	NA	Department of Planetary Sciences, School of Geosciences, University of Aberdeen, United Kingdom	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Charalampos C. Moustakidis	0000-0003-3380-5131	Aristotle University of Thessaloniki, Greece	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Zdzislaw E. Musielak	0000-0003-1975-9298	University of Texas at Arlington, USA	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Valery Nakariakov	0000-0001-6423-8286	University of Warwick, United Kingdom	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	George Pavlov	NA	Pennsylvania State University, USA	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Erasmo Recami	NA	Università Statale di Bergamo, Italy	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	M. Sharif	0000-0001-6845-3506	Punjab University, Pakistan	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Kovacs Tamas	NA	ELTE, Eotvos Lorand University, Hungary	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Wenwu Tian	NA	University of Chinese Academy of Sciences, China	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Roberto Turolla	NA	University of Padua, Italy	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Yue Wang	0000-0001-9172-0895	Beihang University, China	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Kadri Yakut	NA	Department of Astronomy &amp; Space Sciences Faculty of Science University of Ege, Turkey	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Jianguo Yan	NA	Wuhan university, China	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Yihua Yan	NA	National Astronomical Observatories, CAS, China	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Hu Yang	NA	Earth System Science Interdisciplinary Center, University of Maryland, USA	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Astronomy	Academic Editors	Xiao-Ping Zhang	NA	Lunar and Planetary Science Laboratory Macau University of Science and Technology , Macau	https://www.hindawi.com/journals/aa/editors/	2022-01-04
Hindawi	Advances in Cell and Gene Therapy	Chief Editor	Carol Miao,	NA	NA	https://www.hindawi.com/journals/acgt/editors/	2022-01-04
Hindawi	Advances in Cell and Gene Therapy	Academic Editors	Carol Miao,	NA	Morsani College of Medicine and College of Engineering, USA	https://www.hindawi.com/journals/acgt/editors/	2022-01-04
Hindawi	Advances in Cell and Gene Therapy	Academic Editors	Carol Miao,	NA	Division of Experimental Hematology, Cincinnati Children's Hospital Medical Center  , USA	https://www.hindawi.com/journals/acgt/editors/	2022-01-04
Hindawi	Advances in Cell and Gene Therapy	Academic Editors	Carol Miao,	NA	Indiana University School of Medicine , USA	https://www.hindawi.com/journals/acgt/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Chief Editor	Cumaraswamy Vipulanandan	NA	University of Houston, USA	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Chiara Bedon	0000-0003-3875-2817	University of Trieste, Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Constantin Chalioris	0000-0001-8283-1382	Democritus University of Thrace, Greece	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Ghassan Chehab	0000-0001-5779-3046	American University of Beirut, Lebanon	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Ottavia Corbi	NA	University of Naples Federico II , Italy	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Mohamed ElGawady	0000-0001-6928-9875	Missouri University of Science and Technology, USA	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Jian Ji	0000-0002-7616-2685	Hohai University, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Jiang Jin	0000-0001-5898-7387	Guangzhou University, China	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Shazim A. Memon	0000-0001-6625-8811	Nazarbayev University, Kazakhstan	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Hossein Moayedi	0000-0002-5625-1437	Ton Duc Thang University, Vietnam	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Sanjay Nimbalkar	NA	University of Technology Sydney, Australia	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Alessandro Palmeri	0000-0001-8453-6619	Loughborough University, United Kingdom	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Arnaud Perrot	0000-0002-7105-4212	Université de Bretagne-Sud, France	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Hugo Rodrigues	0000-0003-1373-4540	University of Aveiro Civil Engineering Department , Portugal	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Hao Wang	0000-0001-8666-6900	Rutgers, The State University of New Jersey, USA	https://www.hindawi.com/journals/ace/editors/	2022-01-04
Hindawi	Advances in Civil Engineering	Associate Editors	Victor Yepes	0000-0001-5488-6001	Universidad Politécnica de Valencia, Spain	https://www.hindawi.com/journals/ace/editors/	2022-01-04
