editor	role	affiliation	journal	issn	publisher	url	date	orcid
Justice Nonvignon	Editorial Board	University of Ghana Ghana	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7484-9491
Abdisalan Noor	Editorial Board	World Health Organization Switzerland	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-2242-4499
Moffat Nyirenda	Editorial Board	London School of Hygiene and Tropical Medicine United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Eleanor Ochodo	Editorial Board	Stellenbosch University Faculty of Medicine and Health Sciences South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7951-3030
Fredros Okumu	Editorial Board	Tanzania	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Tolu Oni	Editorial Board	University of Cambridge United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4499-1910
Ijeoma Opara	Editorial Board	Wayne State University School of Medicine United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Pamela Roach	Editorial Board	University of Calgary Canada	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-7694-9309
Thurka Sangaramoorthy	Editorial Board	University of Maryland United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Aqsa Shaikh	Editorial Board	Hamdard Institute of Medical Science and Research India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Amy Tan	Editorial Board	University of British Columbia Canada	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Benjamin Tsofa	Editorial Board	KEMRI-Wellcome Trust Research Programme: Centre for Geographic Medicine Research Coast Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-1000-1771
Deisy Ventura	Editorial Board	University of Sao Paulo: Universidade de Sao Paulo Brazil	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Clare Wenham	Editorial Board	London School of Economics (LSE) United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5378-3203
Siyan Zhan	Editorial Board	China	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Ukachukwu Abaraogu	Editorial Board	Glasgow Caledonian University, University of Nigeria Faculty of Health Sciences and Technology United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-1967-1459
Faisal Abbas	Editorial Board	National University of Sciences and Technology Pakistan	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-9312-5659
Mohamed Salah Abbassi	Editorial Board	Tunisian Institute of Veterinary Research Tunisia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Yubraj Acharya	Editorial Board	Pennsylvania State University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-9003-636X
Tom Achoki	Editorial Board	Africa Institute for Health Policy Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Ifedayo Adetifa	Editorial Board	KEMRI-Wellcome Trust Research Programme Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-2556-9407
Agani Afaya	Editorial Board	University of Health and Allied Sciences Ghana	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7918-2999
Suneth Agampodi	Editorial Board	Rajarata University of Sri Lanka Sri Lanka	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-7810-1774
Sayem Ahmed	Editorial Board	University of Oxford Nuffield College Viet Nam	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9499-1500
Syed Masud Ahmed	Editorial Board	BRAC University Bangladesh	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5032-7181
Sitara Ajjampur	Editorial Board	Christian Medical College and Hospital: Christian Medical College Vellore India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-3419-6577
Oluwafemi Akande	Editorial Board	Federal University of Technology Minna Nigeria	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Raghavendra Amachawadi	Editorial Board	Kansas State University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9689-1124
Andre Amaral	Editorial Board	Imperial College London United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-0369-9449
A. Amegah	Editorial Board	University of Cape Coast Ghana	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5868-6402
Charles Ameh	Editorial Board	Liverpool School of Tropical Medicine United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-2341-7605
Dickson Amugsi	Editorial Board	African Population and Health Research Center Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-5261-8481
Carl Abelardo Antonio	Editorial Board	UP Manila: University of the Philippines Manila Philippines	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-7476-0553
Genevieve Aryeetey	Editorial Board	University of Ghana College of Health Sciences Ghana	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-0530-8675
Muhammad Asaduzzaman	Editorial Board	University of Oslo Faculty of Medicine: Universitetet i Oslo Det medisinske fakultet Norway	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9048-7980
Augustine Asante	Editorial Board	University of New South Wales Sydney Australia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-3894-3437
Ruth Ashton	Editorial Board	Tulane University School of Public Health and Tropical Medicine United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7248-7730
Collins Asweto	Editorial Board	University of Embu Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-3514-9836
Alok Atreya	Editorial Board	Lumbini Medical College Nepal	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-6657-7871
Peter Azzopardi	Editorial Board	Burnet Institute Australia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Giridhara Babu	Editorial Board	Public Health Foundation of India India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4370-8933
Kathleen Bachynski	Editorial Board	Muhlenberg College United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
María Balcells	Editorial Board	Pontificia Universidad Católica de Chile: Pontificia Universidad Catolica de Chile Chile	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7223-9665
Ananya Banerjee	Editorial Board	McGill University School of Population and Global Health Canada	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Palash Banik	Editorial Board	Bangladesh University of Health Sciences Bangladesh	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-2395-9049
Lingkan Barua	Editorial Board	Bangladesh University of Health Sciences Bangladesh	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-9281-3839
Neha Batura	Editorial Board	University College London United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-8175-8125
Derrick Bennett	Editorial Board	University of Oxford United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Madhavi Bhargava	Editorial Board	Yenepoya Medical College, Yenepoya University India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-7480-566X
Soumyadeep Bhaumik	Editorial Board	The George Institute for Global Health India India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9579-4453
Adriana Andrea Biney	Editorial Board	University of Ghana Ghana	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7188-0135
Melanie Boeckmann	Editorial Board	Bielefeld University: Universitat Bielefeld Germany	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Edna Bosire	Editorial Board	University of the Witwatersrand South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-4781-7101
Marie Brault	Editorial Board	Yale University School of Public Health United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7152-785X
Maria del Mar Pastor Bravo	Editorial Board	University of Murcia Spain	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9831-470X
Shyam Budhathoki	Editorial Board	Imperial College London United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-8614-1087
Gene Bukhman	Editorial Board	Harvard Medical School United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4500-7903
Tara Carney	Editorial Board	South African Medical Research Council South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5400-0565
Bernard Cazelles	Editorial Board	Ecole Normale Superieure France	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Runsen Chen	Editorial Board	Tsinghua University China	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-2145-8630
Francesco Chirico	Editorial Board	Universitá Cattolica del Sacro Cuore Italy	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Paolo Cortesi	Editorial Board	University of Milan-Bicocca Italy	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5241-4473
Amelia Crampin	Editorial Board	Malawi Epidemiology and Intervention Research Unit Malawi	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-1513-4330
Francis Crawley	Editorial Board	European Best Practice Guidelines: European Renal Best Practice Belgium	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-6893-5916
Zulma Cucunuba	Editorial Board	Pontificia Universidad Javeriana &amp; Imperial College London Colombia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-8165-3198
Biplab Datta	Editorial Board	Augusta University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-2559-850X
Apostolos Davillas	Editorial Board	University of East Anglia United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-6607-274X
Lisa Dikomitis	Editorial Board	Keele University United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-5752-3270
Catherine Draper	Editorial Board	University of the Witwatersrand South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Nick Drydakis	Editorial Board	Anglia Ruskin University - Cambridge Campus United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9827-6678
Ransome Eke	Editorial Board	The University of Alabama United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-2148-4414
Joseph El-Khoury	Editorial Board	American University of Beirut Lebanon	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Nora Engel	Editorial Board	Maastricht University Netherlands	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-1823-3908
Kevin Escandón	Editorial Board	Universidad del Valle Colombia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7173-7486
Javier Eslava-Schmalbach	Editorial Board	Universidad Nacional de Colombia Colombia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-1502-2918
Everton Falcão de Oliveira	Editorial Board	Universidade Federal de Mato Grosso do Sul Brazil	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-0074-5278
Habib Farooqui	Editorial Board	Public Health Foundation of India India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-3081-2929
Abraham Flaxman	Editorial Board	University of Washington United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-6033-4713
Rebecca Flueckiger	Editorial Board	RTI International United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4294-2816
Meredith Fort	Editorial Board	Colorado School of Public Health United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Bonnie Fournier	Editorial Board	Thompson Rivers University Canada	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-9065-9770
Joel Francis	Editorial Board	University of the Witwatersrand South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-1902-2683
Agomoni Ganguli-Mitra	Editorial Board	University of Edinburgh United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Carmen García Peña	Editorial Board	Instituto Nacional de Geriatria Mexico	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-9380-6964
Karen Grépin	Editorial Board	University of Hong Kong Hong Kong	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4368-0045
Steph Grohmann	Editorial Board	University of Edinburgh United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Ana Guimarães	Editorial Board	University of Sao Paulo: Universidade de Sao Paulo Brazil	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-8261-5863
Razak Gyasi	Editorial Board	African Population and Health Research Center Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-6733-1539
Mohammad Rifat Haider	Editorial Board	Ohio University College of Health Sciences and Professions United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-0690-8242
Maji Hailemariam	Editorial Board	Michigan State University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Nafisa Halim	Editorial Board	Boston University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-6529-4455
Rachel Hall-Clifford	Editorial Board	Emory University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Raph Hamers	Editorial Board	University of Oxford Indonesia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-5007-7896
Changwoo Han	Editorial Board	Chungnam National University Republic of Korea	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-5127-4680
Syed Emdadul Haque	Editorial Board	UChicago Research Bangladesh Bangladesh	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Tilahun Haregu	Editorial Board	University of Melbourne Department of Public Health: The University of Melbourne School of Population and Global Health Australia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-8797-0469
Nicola Hawley	Editorial Board	Yale University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-2601-3454
Bethany Hedt-Gauthier	Editorial Board	Harvard Medical School United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-9689-5413
Martin Heine	Editorial Board	Stellenbosch University South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4131-2863
Sabine Hermans	Editorial Board	Amsterdam Institute for Global Health and Development Netherlands	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5146-2932
Rochelle Holm	Editorial Board	Mzuzu University Malawi	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Mohammad Hossain	Editorial Board	University of Dhaka: Dhaka University Bangladesh	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-4615-5086
Xanthe Hunt	Editorial Board	Stellenbosch University South Africa	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Waqar Husain	Editorial Board	COMSATS University Islamabad Pakistan	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0003-3047-1834
Choolwe Jacobs	Editorial Board	University of Zambia School of Public Health Zambia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-7741-1962
Kévin Jean	Editorial Board	Conservatoire National des Arts et Metiers France	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-6462-7185
Helen Jenkins	Editorial Board	Boston University United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Olaf Jensen	Editorial Board	University of Southern Denmark Denmark	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Mira Johri	Editorial Board	Universite de Montreal Canada	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5642-787X
Rohina Joshi	Editorial Board	The George Institute, UNSW Australia	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-3374-401X
Damazo Kadengye	Editorial Board	APHRC: African Population and Health Research Center Kenya	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	NA
Anuj Kapilashrami	Editorial Board	University of Essex United Kingdom	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-6719-9216
Karishma Kaushik	Editorial Board	Savitribai Phule Pune University India	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0001-5131-1798
Nora Kenworthy	Editorial Board	University of Washington Bothell United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-6809-5574
Andrew Kerkhoff	Editorial Board	Zuckerberg San Francisco General Hospital and Trauma Center United States	PLOS Global Public Health	2767-3375	PLOS	https://journals.plos.org/globalpublichealth/s/editorial-board	2022-01-18	0000-0002-5023-6658
