editor	role	affiliation	journal	issn	publisher	url	date	orcid
Ortrun Mittelsten Scheid	Editorial Board	Gregor Mendel Institute of Molecular Plant Biology Vienna, Austria	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Cecilia Moens 	Editorial Board	Fred Hutchinson Cancer Research Center Seattle, WA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Denise J. Montell	Editorial Board	University of California Santa Barbara Santa Barbara, CA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Gloria K. Muday	Editorial Board	Wake Forest University Winston-Salem, NC, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Mary C. Mullins	Editorial Board	University of Pennsylvania Philadelphia, PA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Stefan Mundlos	Editorial Board	Max Planck Institute for Molecular Genetics Berlin, Germany	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Coleen T. Murphy	Editorial Board	Princeton University Princeton, NJ, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Amanda J. Myers	Editorial Board	University of Miami Miami, FL, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Jeremy Nance	Editorial Board	NYU School of Medicine New York, NY, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Anne O’Donnell-Luria	Editorial Board	Boston Children’s Hospital and The Broad Institute Boston, MA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Joseph Opferman	Editorial Board	St Jude Children's Research Hospital Memphis, TN, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Harry T. Orr	Editorial Board	University of Minnesota Minneapolis, MN, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Subba R. Palli	Editorial Board	  University of Kentucky Lexington, KY, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Christopher E. Pearson	Editorial Board	The Hospital for Sick Children and University of Toronto Toronto, Canada	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Norbert Perrimon	Editorial Board	Harvard Medical School, Howard Hughes Medical Institute Boston, MA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Steven Petrou	Editorial Board	The Florey Institute of Neuroscience and Mental Health Melbourne, Australia	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Vincent Plagnol 	Editorial Board	Genomics plc Oxford, UK	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Sharon E. Plon	Editorial Board	Baylor College of Medicine Houston, TX, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Tiancong Qi	Editorial Board	School of Life Sciences Tsinghua University Beijing, China	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Tim Reddy	Editorial Board	Duke University Durham, NC, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Caroline Relton	Editorial Board	University of Bristol Bristol, UK	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Paul M. Richardson	Editorial Board	Progentech Emeryville, CA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Lynn M. Riddiford	Editorial Board	University of Washington Friday Harbor Laboratories Friday Harbor, WA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Samuli Ripatti	Editorial Board	University of Helsinki and Institute for Molecular Medicine Finland (FIMM) Helsinki, Finland	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Gordon Robertson	Editorial Board	BC Cancer Agency Vancouver, BC, Canada	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Pascale Romby	Editorial Board	Centre National de la Recherche Scientifique (CNRS) and the University of Strasbourg Strasbourg, France	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Derry C. Roopenian	Editorial Board	The Jackson Laboratory Bar Harbor, ME, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Mikkel H. Schierup	Editorial Board	University of Aarhus Aarhus, Denmark	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Robert Schneider	Editorial Board	Institute of Functional Epigenetics Munich, Germany	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Liliane Schoofs	Editorial Board	KU Leuven Leuven, Belgium	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
